"bin_index","bin_from","bin_to","interpolation","interval_type"
134,0.000169,0.000171,0.00017,1201
135,0.000171,0.000174,0.0001725,1201
136,0.000174,0.000176,0.000175,1201
137,0.000176,0.000179,0.0001775,1201
138,0.000179,0.000181,0.00018,1201
139,0.000181,0.000184,0.0001825,1201
140,0.000184,0.000186,0.000185,1201
141,0.000186,0.000189,0.0001875,1201
142,0.000189,0.000192,0.0001905,1201
143,0.000192,0.000194,0.000193,1201
144,0.000194,0.000197,0.0001955,1201
145,0.000197,2e-04,0.0001985,1201
146,2e-04,0.000202,0.000201,1201
147,0.000202,0.000205,0.0002035,1201
148,0.000205,0.000208,0.0002065,1201
149,0.000208,0.000211,0.0002095,1201
150,0.000211,0.000214,0.0002125,1201
151,0.000214,0.000217,0.0002155,1201
152,0.000217,0.00022,0.0002185,1201
153,0.00022,0.000223,0.0002215,1201
154,0.000223,0.000226,0.0002245,1201
155,0.000226,0.000229,0.0002275,1201
156,0.000229,0.000232,0.0002305,1201
157,0.000232,0.000236,0.000234,1201
158,0.000236,0.000239,0.0002375,1201
159,0.000239,0.000242,0.0002405,1201
160,0.000242,0.000246,0.000244,1201
161,0.000246,0.000249,0.0002475,1201
162,0.000249,0.000253,0.000251,1201
163,0.000253,0.000256,0.0002545,1201
164,0.000256,0.00026,0.000258,1201
165,0.00026,0.000263,0.0002615,1201
166,0.000263,0.000267,0.000265,1201
167,0.000267,0.000271,0.000269,1201
168,0.000271,0.000274,0.0002725,1201
169,0.000274,0.000278,0.000276,1201
170,0.000278,0.000282,0.00028,1201
171,0.000282,0.000286,0.000284,1201
172,0.000286,0.00029,0.000288,1201
173,0.00029,0.000294,0.000292,1201
174,0.000294,0.000298,0.000296,1201
175,0.000298,0.000302,3e-04,1201
176,0.000302,0.000307,0.0003045,1201
177,0.000307,0.000311,0.000309,1201
178,0.000311,0.000315,0.000313,1201
179,0.000315,0.00032,0.0003175,1201
180,0.00032,0.000324,0.000322,1201
181,0.000324,0.000328,0.000326,1201
182,0.000328,0.000333,0.0003305,1201
183,0.000333,0.000338,0.0003355,1201
184,0.000338,0.000342,0.00034,1201
185,0.000342,0.000347,0.0003445,1201
186,0.000347,0.000352,0.0003495,1201
187,0.000352,0.000357,0.0003545,1201
